Gene Name	Systematic Name	Motif ID	Sub Motif	Logo	Total Score	DBDs	Expert Confidence	Method Description	Reference	Dubious?	Ranksum GO P	Ranksum GO AUROC	Ranksum GO Term	Mean ChIP chip Score	Mean Expression Score	Concurrence	Add to Cart
VHR1	YIL056W	2091	0		29.82	VHR1	Medium	PBM	22189060		27.78	0.726	GO:0006520	0.00	0.00	2.04	Add
UGA3	YDL170W	486	0		15.45	Zinc cluster	Medium	PBM	19111667		3.64	0.363	GO:0005815	6.58	0.35	4.89	Add
TEA1	YOR337W	817	0		2.51	Zinc cluster	Medium	PBM	19158363		2.51	0.470	GO:0016070	0.00	0.00	0.00	Add
TBP-TFIIB	TBP-TFIIB	1329	0		2.89		Medium	TIRF-PBM	19487241		1.63	0.540	GO:0005740	0.25	1.01	0.00	Add
TBP-TFIIA-TFIIB	TBP-TFIIA-TFIIB	1330	0		1.87		Medium	TIRF-PBM	19487241		1.87	0.609	GO:0004721	0.00	0.00	0.00	Add
SUT1	YGL162W	673	0		53.30	Zinc cluster	Medium	ChIP-chip	16522208		8.61	0.618	GO:0005886	40.00	4.69	0.00	Add
STP4	YDL048C	559	0		6.05	C2H2 ZF	Medium	PBM	19111667		2.46	0.411	GO:0000746	2.17	1.41	0.00	Add
STP3	YLR375W	568	0		2.69	C2H2 ZF	Medium	PBM	19111667		2.34	0.394	GO:0005815	0.00	0.35	0.00	Add
STB5	YHR178W	2068	0		20.82	Zinc cluster	Medium	ChIP-chip, structural prior	17438293		5.48	0.593	GO:0016491	6.92	5.92	2.51	Add
SRD1	YCR018C	2232	0		10.10	GATA	Medium	PBM	19997485		4.54	0.590	GO:0005856	0.49	0.00	5.06	Add
SNF1	YDR477W	1110	0		37.37		Medium	ChIP-chip	17500587	Dubious	4.74	0.425	GO:0005740	30.99	1.64	0.00	Add
SMP1	YBR182C	864	0		20.13	MADS box	Medium	PBM	19158363		2.83	0.618	GO:0005815	10.28	2.78	4.24	Add
SIP4	YJL089W	2067	0		20.80	Zinc cluster	Medium	ChIP-chip, structural prior	17438293		3.60	0.592	GO:0006091	7.12	0.54	9.54	Add
SIP4	YJL089W	573	0		12.99	Zinc cluster	Medium	PBM	19111667		4.79	0.462	GO:0005634	4.48	0.45	3.27	Add
SFL1	YOR140W	839	0		25.37	HSF	Medium	PBM	19158363		2.55	0.563	GO:0005773	19.26	0.23	3.33	Add
SFL1	YOR140W	605	0		17.87	HSF	Medium	ChIP-chip	16522208		2.68	0.439	GO:0016491	14.19	0.99	0.00	Add
RSC30	YHR056C	2164	0		13.82	Zinc cluster	Medium	PBM	19997485		9.29	0.623	GO:0005886	0.00	3.29	1.24	Add
RLM1	YPL089C	419	0		48.28	MADS box	Medium	related protein promoter analysis, mini-array	10594829		4.09	0.638	GO:0005618	34.01	1.23	8.95	Add
RFX1	YLR176C	1478	0		25.91	RFX	Medium	ChIP-chip, structural prior	17438293		2.56	0.453	GO:0006412	9.66	1.48	12.22	Add
RFX1	YLR176C	496	0		14.17	RFX	Medium	PBM	19111667		1.85	0.317	GO:0003774	5.32	2.09	4.92	Add
RDS2	YPL133C	2226	0		13.31	Zinc cluster	Medium	PBM	19997485		7.26	0.608	GO:0016491	0.00	3.03	3.03	Add
RDS2	YPL133C	757	0		2.24	Zinc cluster	Medium	EMSA	17875938		2.12	0.543	GO:0005783	0.00	0.12	0.00	Add
RDR1	YOR380W	756	0		6.79	Zinc cluster	Medium	Enrichment in Deletion-up regulated promoters	11882665		2.35	0.546	GO:0005783	1.10	0.73	2.61	Add
PUT3	YKL015W	2065	0		35.74	Zinc cluster	Medium	ChIP-chip, structural prior	17438293		4.73	0.456	GO:0016070	23.14	2.10	5.77	Add
PUT3	YKL015W	2223	0		27.20	Zinc cluster	Medium	PBM	19997485		7.11	0.635	GO:0006091	11.61	3.25	5.24	Add
PDR8	YLR266C	528	0		7.68	Zinc cluster	Medium	PBM	19111667		3.23	0.378	GO:0004386	0.00	1.77	2.68	Add
PDR8	YLR266C	244	0		7.49	Zinc cluster	Medium	ChIP, microarray Enrichment	12529331		1.80	0.546	GO:0016491	0.00	3.03	2.66	Add
PDR3	YBL005W	1387	0		35.11	Zinc cluster	Medium	MITOMI	20802496		8.01	0.645	GO:0006091	24.65	0.27	2.18	Add
PDR3	YBL005W	2062	0		21.79	Zinc cluster	Medium	ChIP-chip, structural prior	17438293		4.38	0.581	GO:0005886	14.97	0.13	2.31	Add
OAF1	YAL051W	2060	0		37.12	Zinc cluster	Medium	ChIP-chip, structural prior	17438293		7.49	0.609	GO:0005886	13.27	9.88	6.48	Add
NHP6B	YBR089C-A	792	0		6.34	Sox	Medium	PBM	19158363		2.10	0.556	GO:0005773	0.00	0.00	4.24	Add
NHP6A	YPR052C	879	0		25.90	Sox	Medium	PBM	19158363		3.45	0.576	GO:0005773	20.59	0.00	1.85	Add
MOT3	YMR070W	2080	0		11.72	C2H2 ZF	Medium	PBM	22189060		3.73	0.742	GO:0005576	0.45	3.84	3.70	Add
MOT2	YER068W	556	0		13.91	RRM	Medium	PBM	19111667		3.51	0.440	GO:0005840	10.33	0.07	0.00	Add
MGA1	YGR249W	2141	0		10.48	HSF	Medium	PBM	19997485		2.85	0.435	GO:0006520	4.38	1.09	2.16	Add
HSF1	YGL073W	411	0		29.40	HSF	Medium	ChIP-chip	15343339		3.06	0.564	GO:0003723	14.85	3.57	7.91	Add
HSF1	YGL073W	1461	0		21.45	HSF	Medium	ChIP-chip, structural prior	17438293		2.65	0.597	GO:0006457	12.28	1.87	4.65	Add
HSF1	YGL073W	615	0		21.33	HSF	Medium	ChIP-chip	16522208		3.05	0.606	GO:0006457	11.36	2.25	4.67	Add
HSF1	YGL073W	476	0		12.37	HSF	Medium	PBM	19111667		3.21	0.537	GO:0006810	8.48	0.68	0.00	Add
HMS1	YOR032C	1498	0		23.16	bHLH	Medium	ChIP-chip, structural prior	17438293		3.34	0.544	GO:0016740	17.65	2.17	0.00	Add
HMRA2	YCR096C	558	0		3.12	Homeodomain	Medium	PBM	19111667		3.12	0.456	GO:0006350	0.00	0.00	0.00	Add
HMLALPHA2	YCL067C	2102	0		2.64	Homeodomain	Medium	PBM	22189060		2.64	0.445	GO:0042221	0.00	0.00	0.00	Add
HMLALPHA2	YCL067C	2079	0		2.64	Homeodomain	Medium	PBM	22189060		2.64	0.469	GO:0016070	0.00	0.00	0.00	Add
HAC1	YFL031W	94	0		10.73	bZIP	Medium	multiple site analysis, site-turns-on-gene	9545334		2.70	0.561	GO:0005886	6.63	1.40	0.00	Add
HAA1	YPR008W	1425	0		32.14	Copper fist	Medium	EMSA, motif finding in co regulated genes	21586585		7.14	0.606	GO:0005886	23.37	1.63	0.00	Add
GSM1	YJL103C	856	0		13.12	Zinc cluster	Medium	PBM	19158363		4.33	0.581	GO:0016491	0.00	2.67	6.12	Add
ERT1	YBR239C	2188	0		15.78	Zinc cluster	Medium	PBM	19997485		4.94	0.611	GO:0006091	2.76	4.96	3.11	Add
DAT1	YML113W	1416	0		19.59		Medium	EMSA	8532535		1.79	0.460	GO:0012505	6.64	11.16	0.00	Add
DAL80	YKR034W	1355	0		6.91	GATA	Medium	MITOMI	20802496		2.11	0.447	GO:0044262	1.80	0.10	2.89	Add
CUP2	YGL166W	48	3		9.31	Copper fist	Medium	Site-turns-gene-on, DNase protection	2403647		3.16	0.560	GO:0042221	0.00	0.69	5.46	Add
CUP2	YGL166W	48	1		6.44	Copper fist	Medium	Site-turns-gene-on, DNase protection	2403647		2.84	0.556	GO:0042221	0.00	0.73	2.86	Add
CUP2	YGL166W	48	2		6.34	Copper fist	Medium	Site-turns-gene-on, DNase protection	2403647		2.88	0.556	GO:0042221	0.00	0.70	2.76	Add
CIN5	YOR028C	1349	0		59.06	bZIP	Medium	MITOMI	20802496		2.22	0.454	GO:0005840	52.38	1.78	2.69	Add
CAT8	YMR280C	33	0		10.46	Zinc cluster	Medium	mutated individual sites to see affect on TS	14685767		4.91	0.610	GO:0006091	0.00	1.00	4.56	Add
ASH1	YKL185W	28	0		22.92	GATA	Medium	EMSA, DNase footprinting, single site mutagenesis	11171979		3.22	0.380	GO:0005618	13.61	6.09	0.00	Add
ASG1	YIL130W	2116	0		11.79	Zinc cluster,Zinc cluster	Medium	PBM	19997485		6.08	0.624	GO:0006091	0.00	3.02	2.69	Add
ASG1	YIL130W	807	0		9.84	Zinc cluster,Zinc cluster	Medium	PBM	19158363		4.61	0.584	GO:0016491	0.00	1.40	3.83	Add
ARR1	YPR199C	603	0		14.18	bZIP	Medium	ChIP-chip	16522208		2.98	0.440	GO:0003677	9.60	1.60	0.00	Add
ARG80	YMR042W	1483	0		31.78	MADS box	Medium	ChIP-chip, structural prior	17438293		2.63	0.551	GO:0005198	28.33	0.82	0.00	Add
ARG5,6	YER069W	1426	0		3.25		Medium	EMSA, ChIP-chip	15486299		2.64	0.560	GO:0005886	0.00	0.60	0.00	Add
alpha1-MCM1-dimer	MATALPHA1-MCM1-dimer	1442	0		2.06	MADS box,MATalpha1	Medium	Sites found in coregulated genes' promoters, and in orthologous promoters	21498688		2.06	0.448	GO:0005730	0.00	0.00	0.00	Add
ACA1	YER045C	8	0		2.83	bZIP	Medium	in vitro binding assay, mutational analysis	10825197		2.39	0.421	GO:0007126	0.33	0.12	0.00	Add
ABF2	YMR072W	541	0		2.82	Sox	Medium	PBM	19111667	Dubious	2.82	0.458	GO:0006350	0.00	0.00	0.00	Add
a1-alpha2-dimer	MATA1-MATALPHA2-dimer	1436	0		6.47	Homeodomain	Medium	Sites found in coregulated genes' promoters, site-turns-gene-on	3887184		1.42	0.566	GO:0006457	1.09	0.00	3.97	Add
	YER064C	2094	0		34.59	VHR1	Medium	PBM	22189060		32.58	0.745	GO:0006520	0.00	0.00	2.01	Add
	YLL054C	2242	0		16.87	Zinc cluster	Medium	PBM	19997485		9.27	0.623	GO:0016491	0.00	0.00	7.60	Add
	YER184C	2095	0		14.51	Zinc cluster	Medium	PBM	22189060		4.98	0.588	GO:0016491	9.35	0.19	0.00	Add
	YLL054C	816	0		13.02	Zinc cluster	Medium	PBM	19158363		5.45	0.592	GO:0005886	0.00	0.00	7.58	Add
	YER184C	512	0		11.20	Zinc cluster	Medium	PBM	19111667		3.60	0.590	GO:0051186	5.10	2.50	0.00	Add
	YLL054C	526	0		6.65	Zinc cluster	Medium	PBM	19111667		4.59	0.584	GO:0016491	0.00	0.00	2.05	Add
	MAL63	136	0		3.09	Zinc cluster	Medium	EMSA, DNase protection, methylation protection.	7553934		3.09	0.556	GO:0005198	0.00	0.00	0.00	Add
WTM1	YOR230W	1148	0		4.01		Low	ChIP-chip	17500587	Dubious	1.96	0.606	GO:0007124	1.74	0.31	0.00	Add
WAR1	YML076C	325	0		9.25	Zinc cluster	Low	single DNase protection, mobility shift	12588995		1.97	0.391	GO:0004871	1.88	0.34	5.06	Add
UME1	YPL139C	1143	0		19.05		Low	ChIP-chip	17500587	Dubious	2.72	0.532	GO:0016070	15.90	0.43	0.00	Add
THO2	YNL139C	786	0		8.69	Ribbon-helix-helix	Low	ChIP-chip	15343339	Dubious	2.54	0.447	GO:0005740	5.43	0.72	0.00	Add
TBP-TFIIA	TBP-TFIIA	1328	0		3.69		Low	TIRF-PBM	19487241		3.69	0.587	GO:0016874	0.00	0.00	0.00	Add
SUA7	YPR086W	1327	0		9.12		Low	TIRF-PBM	19487241	Dubious	2.21	0.570	GO:0019725	6.91	0.00	0.00	Add
